Adineta_spp,Adineta vaga,AY218092
Adineta_spp,Adineta vaga,DQ078512
Adineta_spp,Adineta sp. CWB-2005,DQ078513
Adineta_spp,Adineta sp. CWB-2005,DQ078514
Adineta_spp,Adineta oculata,DQ078515
Adineta_spp,Adineta sp. CWB-2005,DQ078516
Adineta_spp,Adineta vaga,DQ079961
Adineta_spp,Adineta vaga,DQ089725
Adineta_spp,Adineta gracilis,EF173180
Adineta_spp,Adineta gracilis,EF173181
Adineta_spp,Adineta sp. ES.1,EF173182
Adineta_spp,Adineta sp. ES.2,EF173183
Adineta_spp,Adineta grandis,EF173184
Adineta_spp,Adineta grandis,EF173185
Adineta_spp,Adineta sp. AU.1,EF173186
Adineta_spp,Adineta ricciae,EF173187
Adineta_spp,Adineta ricciae,EF173188
Adineta_spp,Adineta sp. AN.1,EF173189
Adineta_spp,Adineta sp. AN.2.1,EF173190
Adineta_spp,Adineta sp. AN.2.2,EF173191
Adineta_spp,Adineta sp. AN.2.3,EF173192
Adineta_spp,Adineta sp. AN.2.4,EF173193
Adineta_spp,Adineta sp. AN.3.1,EF173194
Adineta_spp,Adineta sp. AN.3.2,EF173195
Adineta_spp,Adineta sp. UK.1,EF173196
Adineta_spp,Adineta gracilis,EF173197
Adineta_spp,Adineta gracilis,EF173198
Adineta_spp,Adineta gracilis,EF173199
Adineta_spp,Adineta sp. FR.1,EF173200
Adineta_spp,Adineta sp. UK.2,EF173201
Adineta_spp,Adineta sp. FR.2,EF173202
Adineta_spp,Adineta sp. MX.1.1,EF173203
Adineta_spp,Adineta sp. MX.1.2,EF173204
Adineta_spp,Adineta sp. FR.3.1,EF173205
Adineta_spp,Adineta sp. FR.3.2,EF173206
Adineta_spp,Adineta sp. FR.4,EF173207
Adineta_spp,Adineta sp. FR.5,EF173208
Adineta_spp,Adineta sp. UK.5,EF173209
Adineta_spp,Adineta sp. TZ.1,EF173210
Adineta_spp,Adineta sp. TZ.2,EF173211
Adineta_spp,Adineta steineri,EF173212
Adineta_spp,Adineta vaga,EF173213
Adineta_spp,Adineta vaga,EF173214
Adineta_spp,Adineta vaga,EF173215
Adineta_spp,Adineta vaga,EF173216
Adineta_spp,Adineta vaga,EF173217
Adineta_spp,Adineta vaga,EF173218
Adineta_spp,Adineta vaga,EF173219
Adineta_spp,Adineta vaga,EF173220
Adineta_spp,Adineta vaga,EF173221
Adineta_spp,Adineta sp. UK.3.1,EF173222
Adineta_spp,Adineta sp. UK.3.2,EF173223
Adineta_spp,Adineta vaga,EF173224
Adineta_spp,Adineta vaga,EF173225
Adineta_spp,Adineta vaga,EF173226
Adineta_spp,Adineta vaga,EF173227
Adineta_spp,Adineta sp. UK.4,EF173228
Adineta_spp,Adineta vaga,EF173229
Adineta_spp,Adineta vaga,EF173230
Adineta_spp,Adineta vaga,EF173231
Adineta_spp,Adineta vaga,EF173232
Adineta_spp,Adineta vaga,EF173233
Adineta_spp,Adineta vaga,EF173234
Adineta_spp,Adineta vaga,EF173235
Adineta_spp,Adineta vaga,EF173236
Adineta_spp,Adineta vaga,EF173237
Adineta_spp,Adineta vaga,EF173238
Adineta_spp,Adineta vaga,EF173239
Adineta_spp,Adineta vaga,EF173240
Adineta_spp,Adineta vaga,EF173241
Adineta_spp,Adineta vaga,EF173242
Adineta_spp,Adineta vaga,EF173243
Adineta_spp,Adineta vaga,EF173244
Adineta_spp,Adineta vaga,EF173245
Adineta_spp,Adineta vaga,EF173246
Adineta_spp,Adineta vaga,EF173247
